서버닉네임,디스코드아이디,레벨,메시지 날짜
비수긔,1111599410594467862,25,2025-04-18
챠르릉챠놈,497357832908439582,3,2025-04-17
황놈,502748968006975488,3,2025-04-17
돼찌,1300749784881041442,10,2025-04-14
딸기바나나우유맛,133478670034665473,15,2025-04-11
나나포인,451035516486418432,1,2025-04-11
포챠펭/판다,246859717274632193,2,2025-04-11
냐항찌,634973871958786069,13,2025-04-03
자빨리빨자,577687736459329556,11,2025-04-01
박춘권,708728235072159925,2,2025-03-30
트롤트롤하다트롤,253497544414461952,1,2025-03-30
싸늘한청년,374017391073558538,8,2025-03-23
별술사,311449494384279553,5,2025-03-21
하리보왕전사,411142522132496384,19,2025-03-21
베니,1068532390542200953,13,2025-03-21
모카쀼우,246118896334143488,1,2025-03-15
시루코코,407861672024473602,1,2025-02-23
불타는잎새,293375980322684930,3,2025-02-16
치즈위즈,601639878387826688,14,2025-02-16
유랑갈색,1287993843672682507,8,2025-02-16
인간킴기사,421629057139212288,6,2025-02-16
이소프,1283732826595790859,8,2025-02-16
아잠깐뼈맞았어,286825608888188928,3,2025-02-16
준혁아빠/길드유일악사,300472244994310145,4,2025-02-14
망원동만아리,397769290960470017,3,2025-02-14
용갈,408627243494146068,3,2025-02-14
끼혁,815163182490451989,3,2025-02-14
집나간빅보이,1285626700167643136,5,2025-02-14
Guerlain,885880724769611826,1,2025-02-13
boodoomaster,272603001447907328,4,2025-02-11
븍더,391463516240084993,1,2025-02-10
굿데이,1273163263248568391,7,2025-02-04
갓사요,1067352326530158633,2,2025-01-26
냥꾼하제,409623498995007488,1,2025-01-19
비수긔테스트,842414414086275112,1,2025-01-16
누런도적/뻔뻔하다,271152500281704450,1,2025-01-16
락산,314363181449347072,1,2025-01-16
아이참기사-아즈샤라,767317776989290496,4,2025-01-14
풍이랑,668171216640540673,2,2025-01-06
겨울깨비,712126986478157865,2,2025-01-06
용을보다,228702809497796610,1,2025-01-03
상큼발랄순수,795140754380947456,1,2025-01-01
미네랄바싸,1216741751528620127,4,2024-12-23
초롱2,246791604679999490,1,2024-12-22
맥스,384533442404155392,2,2024-12-21
해초리,329295817787572224,2,2024-12-20
정욱이,779954263920082944,1,2024-12-19
비등급흑우,238610265535414274,1,2024-12-15
벤츠오우거,1282661076986499186,1,2024-12-10
밀렵밀렵섭,290040009921396736,1,2024-12-07
마젠타/ 누룽지,421327433438986242,1,2024-12-07
비수긔테스트용,731720893906026557,3,2024-12-06
허리펴,512186280776433666,3,2024-12-04
리랄룽래리,354971296251248640,2,2024-11-29
쫑스군,280000431365554186,1,2024-11-29
차뮤식,334347698469863442,1,2024-11-27
무쇠용광로,980786830347763713,1,2024-11-25
힐딜탱전천후,396334926749892608,2,2024-11-10
장멍뭉,215900408722358272,1,2024-11-10
또리성기사,1268189842018144340,3,2024-11-10
노움수리로봇/hunted,325435433947234306,1,2024-11-09
멈출수없는충퀴벌레,599790296032608279,3,2024-11-09
행복이,1174585513320124427,2,2024-11-09
고래,478971233157775380,1,2024-11-09
쿨히야,722812029382951002,3,2024-11-07
어셔,321584067344859147,1,2024-11-06
성멍민,321658090707746817,4,2024-11-02
엑셀렌뽄드,875407980965797968,2,2024-11-02
aaaaaa,386767548059877376,1,2024-10-29
backhurt,908724890461421599,2,2024-10-29
전률,539329580297748500,3,2024-10-29
우당탕와장창,336820954850263040,2,2024-10-28
솔빛마루,881541323843325972,1,2024-10-27
뇹뇹,237556325574377484,1,2024-10-23
빻빻봇,1088847601799020614,3,2024-10-15
홋 운,385345232612622346,1,2024-10-14
음주술사,297027178720133130,3,2024-10-14
대명리,403512301967114240,1,2024-10-11
힘만센누나,658076609781301258,1,2024-10-09
RAVF,408619533910147092,1,2024-10-09
저기저절로(지배자),1218554576601616384,4,2024-10-09
벤자민,688720158210261041,1,2024-10-08
Ora,708293175684497458,1,2024-10-07
᲻,499803572909768714,1,2024-10-02
모그란티르,277782705721049088,1,2024-09-29
키라,565482302130356224,1,2024-09-20
달팽이마을,234243321336299520,2,2024-09-15
지뇽,488008306892472331,1,2024-09-14
여우는술사,386670808069832713,1,2024-09-12
수민,379123531251712001,1,2024-09-11
복실,518463602114428937,1,2024-09-04
대원군,309157858845392898,1,2024-09-01
